what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.2.201.R34x_v20080819,org.eclipse.update.configurator,1625153846190
started,bundle,org.eclipse.update.core,3.2.201.R34x_v20080714,org.eclipse.update.core,1625153846198
started,bundle,org.eclipse.update.scheduler,3.2.100.v20080404,org.eclipse.update.scheduler,1625153846198
started,bundle,org.eclipse.epp.usagedata.gathering,1.0.1.R200809220400,org.eclipse.epp.usagedata.gathering,1625153846198
started,bundle,org.eclipse.epp.usagedata.recording,1.0.1.R200809220400,org.eclipse.epp.usagedata.recording,1625153846200
started,bundle,org.eclipse.mylyn.bugzilla.core,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.bugzilla.core,1625153846200
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.bugzilla.ui,1625153846201
started,bundle,org.eclipse.mylyn.commons.net,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.commons.net,1625153846201
started,bundle,org.eclipse.mylyn.commons.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.commons.ui,1625153846201
started,bundle,org.eclipse.mylyn.compatibility,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.compatibility,1625153846201
started,bundle,org.eclipse.mylyn.context.core,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.context.core,1625153846201
started,bundle,org.eclipse.mylyn.context.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.context.ui,1625153846202
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.monitor.ui,1625153846202
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.tasks.ui,1625153846202
started,bundle,org.eclipse.mylyn.team.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.team.ui,1625153846202
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20080827,org.eclipse.team.cvs.core,1625153846203
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1625153846204
started,bundle,de.leiffrenzel.fp.haskell.ghccompiler,0.10.0,de.leiffrenzel.fp.haskell.ghccompiler,1625153846213
started,bundle,net.sf.eclipsefp.common.core,0.10.0,net.sf.eclipsefp.common.core,1625153846218
started,bundle,net.sf.eclipsefp.common.ui,0.10.0,net.sf.eclipsefp.common.ui,1625153846223
started,bundle,net.sf.eclipsefp.haskell.core,0.10.0,net.sf.eclipsefp.haskell.core,1625153846229
started,bundle,net.sf.eclipsefp.haskell.core.jparser,0.10.0,net.sf.eclipsefp.haskell.core.jparser,1625153846234
started,bundle,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui,1625153846239
started,bundle,org.eclipse.dltk.core,0.95.1.v20080920-R0951,org.eclipse.dltk.core,1625153846240
started,bundle,org.eclipse.dltk.launching,0.95.1.v20080915-1703,org.eclipse.dltk.launching,1625153846240
