what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.close,1625246262493
opened,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1625246266746
activated,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1625246266770
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ResourceNavigator,1625246269944
opened,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1625246270126
activated,editor,net.sf.eclipsefp.haskell.ui,0.10.0,net.sf.eclipsefp.haskell.ui.editor.HaskellEditor,1625246270147
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625246281616
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625246311039
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625246329161
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625246358825
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625246391626
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625246394751
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1625246394987
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625246398540
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625246409553
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625246450640
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625246466903
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625246497080
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1625246499160
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625246517540
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625246544116
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1625246544400
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625246545457
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1625246572243
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1625246573248
